Chapter,Verse Number,Verse,Translation
2,44,वृतो रथानां कोट्या च युद्धे तस्मिन्नयुध्यत ।बिडालाख्योऽयुतानां च पञ्चाशद्भिरथायुतैः॥,"Encircled by streaming multitudes of elephants and horses, Parivārita fought in that battle with ten million chariots,"
2,45,युयुधे संयुगे तत्र रथानां परिवारितः ।अन्ये च तत्रायुतशो रथनागहयैर्वृताः॥,"and he who is called Biḍāla, with five billion chariots surrounding him, engaged in combat there."
2,46,युयुधुः संयुगे देव्या सह तत्र महासुराः ।कोटिकोटिसहस्रैस्तु रथानां दन्तिनां तथा॥,"Amid chariots, elephants, and horses, myriads of other great asuras battled with the Devī,"
2,47,हयानां च वृतो युद्धे तत्राभून्महिषासुरः ।तोमरैर्भिन्दिपालैश्च शक्तिभिर्मुसलैस्तथा॥,"their countless chariots, elephants, and horses surrounding Māhiṣāsura there in the fray."
2,48,युयुधुः संयुगे देव्या खड्गैः परशुपट्टिशैः ।केचिच्च चिक्षिपुः शक्तीः केचित् पाशांस्तथापरे॥,"With lances and javelins, spears and clubs, swords and axes, and sharp-edged spears, they fought with the Devī."
2,49,देवीं खड्गप्रहारैस्तु ते तां हन्तुं प्रचक्रमुः ।सापि देवी ततस्तानि शस्त्राण्यस्त्राणि चण्डिका॥,"Some hurled spears while others threw nooses; intent on killing Her, they began an assault with their swords."
2,50,लीलयैव प्रचिच्छेद निजशस्त्रास्त्रवर्षिणी ।अनायस्तानना देवी स्तूयमाना सुरर्षिभिः॥,"But She, the Devī Caṇḍikā, showered down all manner of weapons and cut through their armaments as if in play."
2,51,मुमोचासुरदेहेषु शस्त्राण्यस्त्राणि चेश्वरी ।सोऽपि क्रुद्धो धुतसटो देव्या वाहनकेसरी॥,"Praised by gods and seers, She remained serene, even while unleashing Her weapons at the asuras’ bodies."
2,52,चचारासुरसैन्येषु वनेष्विव हुताशनः ।निःश्वासान् मुमुचे यांश्च युध्यमाना रणेऽम्बिका॥,"Her lion-mount, shaking its mane in fury, stalked among the demon throngs as fire rages through a Forest."
2,53,त एव सद्यः सम्भूता गणाः शतसहस्रशः ।युयुधुस्ते परशुभिर्भिन्दिपालासिपट्टिशैः॥,The sighs that Ambikā heaved while fighting became at once Her legions by the hundreds and thousands.
2,54,नाशयन्तोऽसुरगणान् देवीशक्त्युपबृंहिताः ।अवादयन्त पटहान् गणाः शङ्खांस्तथापरे॥,"They fought with axes, javelins, swords, and sharp- edged spears, and drawing strength from Her power, they destroyed the demon hordes."
2,55,मृदङ्गांश्च तथैवान्ये तस्मिन् युद्धमहोत्सवे ।ततो देवी त्रिशूलेन गदया शक्तिवृष्टिभिः॥,"Some of Her throngs beat war drums resoundingly, some blew conches, and others drummed upon tabors in their zest for battle."
2,56,खड्गादिभिश्च शतशो निजघान महासुरान् ।पातयामास चैवान्यान् घण्टास्वनविमोहितान्॥,"Then the Devī, with Her trident, club, and volleys of spears, with Her swords and other weapons, slew great asuras by the hundreds"
2,57,असुरान् भुवि पाशेन बद्ध्वा चान्यानकर्षयत् ।केचिद् द्विधाकृतास्तीक्ष्णैः खड्गपातैस्तथापरे॥,"and brought down still more with the confounding din of Her bell. Binding other asuras with Her noose, She dragged them along the ground."
2,58,विपोथिता निपातेन गदया भुवि शेरते ।वेमुश्च केचिद्रुधिरं मुसलेन भृशं हताः॥,"Her swordstrokes slashed others in two, while crushing blows from Her mace brought still more down,"
2,59,केचिन्निपतिता भूमौ भिन्नाः शूलेन वक्षसि ।निरन्तराः शरौघेण कृताः केचिद्रणाजिरे॥,"and those bludgeoned by Her club vomited forth blood. Others fell to the ground, pierced through the chest by Her trident."
2,60,श्येनानुकारिणः प्राणान् मुमुचुस्त्रिदशार्दनाः ।केषाञ्चिद् बाहवश्छिन्नाश्छिन्नग्रीवास्तथापरे॥,"Her steady stream of arrows made some on that battlefield resemble bristling porcupines, and those tormenters of the gods breathed their last."
2,61,शिरांसि पेतुरन्येषामन्ये मध्ये विदारिताः ।विच्छिन्नजङ्घास्त्वपरे पेतुरुर्व्यां महासुराः॥,"Some had their arms severed, others their necks broken. The heads of others rolled, and still others had their bodies ripped apart."
2,62,एकबाह्वक्षिचरणाः केचिद्देव्या द्विधाकृताः ।छिन्नेऽपि चान्ये शिरसि पतिताः पुनरुत्थिताः॥,"Great asuras, their legs cut from under them, toppled to the ground. Some, severed lengthwise by the Devī, were left one-armed, one-eyed, one-legged."
2,63,कबन्धा युयुधुर्देव्या गृहीतपरमायुधाः ।ननृतुश्चापरे तत्र युद्धे तूर्यलयाश्रिताः॥,"While others there in the battle danced to the throbbing drums, those that She decapitated fell and rose again,"
2,64,कबन्धाश्छिन्नशिरसः खड्गशक्त्यृष्टिपाणयः ।तिष्ठ तिष्ठेति भाषन्तो देवीमन्ये महासुराः॥,"headless bodies, still grasping swords, spears, and lances in hand. ‘Stop! Stop!’ other great asuras cried out to the Devī."
2,65,पातितै रथनागाश्वैरसुरैश्च वसुन्धरा ।अगम्या साभवत्तत्र यत्राभूत् स महारणः॥,"Where that great battle raged, the earth was impassable with fallen chariots, elephants, horses, and corpses."
2,66,शोणितौघा महानद्यः सद्यस्तत्र प्रसुस्रुवुः ।मध्ये चासुरसैन्यस्य वारणासुरवाजिनाम्॥,"Torrents of blood, like mighty rivers, gushed from elephants, asuras, and horses there in the midst of the demon army."
2,67,क्षणेन तन्महासैन्यमसुराणां तथाम्बिका ।निन्ये क्षयं यथा वह्निस्तृणदारुमहाचयम्॥,"In an instant, Ambikā led that vast legion of foes to its destruction, as quickly as fire consumes a heap of straw and wood."
2,68,स च सिंहो महानादमुत्सृजन् धुतकेसरः ।शरीरेभ्योऽमरारीणामसूनिव विचिन्वति॥,"And Her lion, roaring thunderously and shaking its mane, prowled about in search of life- breath still issuing from the enemies’ bodies."
2,69,देव्या गणैश्च तैस्तत्र कृतं युद्धं तथासुरैः ।यथैषां तुतुषुर्देवाः पुष्पवृष्टिमुचो दिवि॥,So did the Devī’s hosts wage war against the asuras. So also did the gods in heaven shower down flowers in praise.”
3,1,ॐ ऋषिरुवाच॥,The seer said:
3,2,निहन्यमानं तत्सैन्यमवलोक्य महासुरः ।सेनानीश्चिक्षुरः कोपाद्ययौ योद्धुमथाम्बिकाम्॥,"“Now when he saw the army being slaughtered, Cikṣura, the great asura general, went forth in fury to battle with Ambikā."
3,3,स देवीं शरवर्षेण ववर्ष समरेऽसुरः ।यथा मेरुगिरेः शृङ्गं तोयवर्षेण तोयदः॥,"He rained showers of arrows on the Devī in the combat, just as a raincloud showers the summit of Mount Meru."
3,4,तस्य छित्वा ततो देवी लीलयैव शरोत्करान् ।जघान तुरगान्बाणैर्यन्तारं चैव वाजिनाम्॥,"But easily shattering his volley, the Devī killed his steeds and charioteer with Her arrows."
3,5,चिच्छेद च धनुः सद्यो ध्वजं चातिसमुच्छृतम् ।विव्याध चैव गात्रेषु छिन्नधन्वानमाशुगैः॥,"Like lightning, She slashed through his bow and highflying banner. Having destroyed his bow, She wounded him in the limbs with Her swift arrows."
3,6,सच्छिन्नधन्वा विरथो हताश्वो हतसारथिः ।अभ्यधावत तां देवीं खड्गचर्मधरोऽसुरः॥,"With bow broken, chariot wrecked, and horses and charioteer slain, the asura, armed with sword and shield, rushed at the Devī."
3,7,सिंहमाहत्य खड्गेन तीक्ष्णधारेण मूर्धनि ।आजघान भुजे सव्ये देवीमप्यतिवेगवान्॥,"First striking Her lion on the head with his sharp-edged sword, he violently struck the Devī’s left arm."
3,8,तस्याः खड्गो भुजं प्राप्य पफाल नृपनन्दन ।ततो जग्राह शूलं स कोपादरुणलोचनः॥,"O king, as soon as the sword touched Her, it shattered. Then, the great asura, his eyes red with rage, seized his blazing lance"
3,9,चिक्षेप च ततस्तत्तु भद्रकाल्यां महासुरः ।जाज्वल्यमानं तेजोभी रविबिम्बमिवाम्बरात्॥,"and flung it at Bhadrakālī, as though he were hurling the very sun from the sky."
3,10,दृष्ट्वा तदापतच्छूलं देवी शूलममुञ्चत ।तेन तच्छतधा नीतं शूलं स च महासुरः॥,"Seeing it approach, the Devī released Her lance and shattered the great asura and his weapon into a hundred pieces."
3,11,हते तस्मिन्महावीर्ये महिषस्य चमूपतौ ।आजगाम गजारूढश्चामरस्त्रिदशार्दनः॥,"When Mahiṣa’s mighty general lay slain, Cāmara, the afflictor of the gods, advanced, mounted on an elephant."
3,12,सोऽपि शक्तिं मुमोचाथ देव्यास्तामम्बिका द्रुतम् ।हुङ्काराभिहतां भूमौ पातयामास निष्प्रभाम्॥,He dispatched his spear toward the Devī. Quickly Ambikā’s contemptuous outcry sent it hurtling powerless to the ground.
3,13,भग्नां शक्तिं निपतितां दृष्ट्वा क्रोधसमन्वितः ।चिक्षेप चामरः शूलं बाणैस्तदपि साच्छिनत्॥,"Seeing it fallen and shattered, the enraged Cāmara flung a lance, and that, too, She destroyed with Her arrows."
3,14,ततः सिंहः समुत्पत्य गजकुम्भान्तरे स्थितः ।बाहुयुद्धेन युयुधे तेनोच्चैस्त्रिदशारिणा॥,"Her lion then leapt up and, astride the elephant’s forehead, engaged fiercely in direct combat with the enemy of the gods."
3,15,युध्यमानौ ततस्तौ तु तस्मान्नागान्महीं गतौ ।युयुधातेऽतिसंरब्धौ प्रहारैरतिदारुणैः॥,"Struggling, the two fell from the elephant to the ground, still locked in dreadful combat."
3,16,ततो वेगात् खमुत्पत्य निपत्य च मृगारिणा ।करप्रहारेण शिरश्चामरस्य पृथक् कृतम्॥,"In a flash the lion sprang skyward, then alighted and severed Cāmara’s head with a single blow of its paw."
3,17,उदग्रश्च रणे देव्या शिलावृक्षादिभिर्हतः ।दन्तमुष्टितलैश्चैव करालश्च निपातितः॥,"In the fighting the Devī assailed the asura Udagra with rocks and trees; and biting, punching, and slapping Karāla, She felled him, too."
3,18,देवी क्रुद्धा गदापातैश्चूर्णयामास चोद्धतम् ।बाष्कलं भिन्दिपालेन बाणैस्ताम्रं तथान्धकम्॥,"Enraged, the Devī crushed Uddhata to a pulp with the blows of Her mace. She killed Bāṣkala with Her javelin and Tāmra and Andhaka with Her arrows,"
3,19,उग्रास्यमुग्रवीर्यं च तथैव च महाहनुम् ।त्रिनेत्रा च त्रिशूलेन जघान परमेश्वरी॥,"and with Her trident the supreme three-eyed Goddess slew Ugrāsya, Ugravīrya, and also Mahāhanu."
3,20,बिडालस्यासिना कायात् पातयामास वै शिरः ।दुर्धरं दुर्मुखं चोभौ शरैर्निन्ये यमक्षयम्॥,"With Her sword She struck Biḍāla’s head from his body, and with Her arrows She dispatched both Durdhara and Durmukha to the abode of death."
3,21,एवं सङ्क्षीयमाणे तु स्वसैन्ये महिषासुरः ।माहिषेण स्वरूपेण त्रासयामास तान् गणान्॥,"While his army thus met destruction, Mahiṣāsura terrified the Devī’s hosts with his own buffalo form,"
3,22,कांश्चित्तुण्डप्रहारेण खुरक्षेपैस्तथापरान् ।लाङ्गूलताडितांश्चान्यान् शृङ्गाभ्यां च विदारितान्॥,jostling some with his snout and pawing others with his hooves. Others he lashed with his tail and lacerated with his horns.
3,23,वेगेन कांश्चिदपरान्नादेन भ्रमणेन च ।निःश्वासपवनेनान्यान्पातयामास भूतले॥,"He toppled some of them to the ground with the unleashed force of his bellowing and wheeling about, and the blast of his breath brought still others down."
3,24,निपात्य प्रमथानीकमभ्यधावत सोऽसुरः ।सिंहं हन्तुं महादेव्याः कोपं चक्रे ततोऽम्बिका॥,"After destroying the great Goddess’s forces, Mahiṣāsura rushed forward to slay Her lion. At that, Ambikā became enraged."
3,25,सोऽपि कोपान्महावीर्यः खुरक्षुण्णमहीतलः ।शृङ्गाभ्यां पर्वतानुच्चांश्चिक्षेप च ननाद च॥,"But Mahiṣāsura, great in valor, struck the earth angrily with his hooves, flung mountains skyward with his horns, and bellowed frightfully."
3,26,वेगभ्रमणविक्षुण्णा मही तस्य व्यशीर्यत ।लाङ्गूलेनाहतश्चाब्धिः प्लावयामास सर्वतः॥,"Under his frenzied wheeling, the trampled earth broke apart. Lashed by his tail, the ocean overflowed all around."
3,27,धुतशृङ्गविभिन्नाश्च खण्डं खण्डं ययुर्घनाः ।श्वासानिलास्ताः शतशो निपेतुर्नभसोऽचलाः॥,"Thrashed by his horns, the clouds fragmented and dispersed. Tossed about on his blasting breath, mountains by the hundreds fell from the sky."
3,28,इति क्रोधसमाध्मातमापतन्तं महासुरम् ।दृष्ट्वा सा चण्डिका कोपं तद्वधाय तदाकरोत्॥,"When She saw the great asura approaching, inflated with rage, Caṇḍikā aroused Her wrath and prepared to slay him."
3,29,सा क्षिप्त्वा तस्य वै पाशं तं बबन्ध महासुरम् ।तत्याज माहिषं रूपं सोऽपि बद्धो महामृधे॥,"She threw Her noose over him and bound him. Fettered thus in the fierce battle, the great asura left his buffalo form"
3,30,ततः सिंहोऽभवत्सद्यो यावत्तस्याम्बिका शिरः ।छिनत्ति तावत् पुरुषः खड्गपाणिरदृश्यत॥,and assumed the shape of a lion. No sooner had Ambikā severed his head than he appeared as a man with sword in hand.
3,31,तत एवाशु पुरुषं देवी चिच्छेद सायकैः ।तं खड्गचर्मणा सार्धं ततः सोऽभून्महागजः॥,"Instantly, with Her arrows the Devī cut him to shreds along with his sword and shield. Then he took the form of a great elephant"
3,32,करेण च महासिंहं तं चकर्ष जगर्ज च ।कर्षतस्तु करं देवी खड्गेन निरकृन्तत॥,"and dragged Her mighty lion along with his trunk, but while he trumpeted loudly, the Devī chopped off his trunk with Her sword."
3,33,ततो महासुरो भूयो माहिषं वपुरास्थितः ।तथैव क्षोभयामास त्रैलोक्यं सचराचरम्॥,"Once more the great asura assumed his buffalo form and caused the three worlds, with all that is moving and unmoving, to tremble."
3,34,ततः क्रुद्धा जगन्माता चण्डिका पानमुत्तमम् ।पपौ पुनः पुनश्चैव जहासारुणलोचना॥,"Angered, Caṇḍikā, the Mother of the worlds, drank a divine potion, and with eyes reddened She laughed again and again."
3,35,ननर्द चासुरः सोऽपि बलवीर्यमदोद्धतः ।विषाणाभ्यां च चिक्षेप चण्डिकां प्रति भूधरान्॥,"The asura bellowed in return, intoxicated with his own might and valor, and with his horns he hurled mountains at Caṇḍikā."
3,36,सा च तान्प्रहितांस्तेन चूर्णयन्ती शरोत्करैः ।उवाच तं मदोद्धूतमुखरागाकुलाक्षरम्॥,"Her volley of arrows reduced them to dust. Her face flushed with inebriation from the divine drink, and She addressed him excitedly."
3,37,देव्युवाच॥,The Devī said:
3,38,गर्ज गर्ज क्षणं मूढ मधु यावत्पिबाम्यहम् ।मया त्वयि हतेऽत्रैव गर्जिष्यन्त्याशु देवताः॥,"‘Bellow, you fool, bellow for now while I drink this potion. After I have slain you, the gods will cheer in this very place.”’"
3,39,ऋषिरुवाच॥,The seer said:
3,40,एवमुक्त्वा समुत्पत्य सारूढा तं महासुरम् ।पादेनाक्रम्य कण्ठे च शूलेनैनमताडयत्॥,"“Having declared that, She leapt upon the great asura, pinned his neck down with Her foot, and pierced him through with Her spear."
3,41,ततः सोऽपि पदाक्रान्तस्तया निजमुखात्तदा ।अर्धनिष्क्रान्त एवासीद्देव्या वीर्येण संवृतः॥,"Trapped there under the Devī’s foot and crushed by Her might, he emerged half-way in his true form from his buffalo mouth."
3,42,अर्धनिष्क्रान्त एवासौ युध्यमानो महासुरः ।तया महासिना देव्या शिरश्छित्त्वा निपातितः॥,"Half-revealed and fighting still, that great asura fell to the Devī, beheaded by Her great sword."
3,43,ततो हाहाकृतं सर्वं दैत्यसैन्यं ननाश तत् ।प्रहर्षं च परं जग्मुः सकला देवतागणाः॥,"Then crying out in alarm, the whole demon army perished, and all the divine hosts exulted."
3,44,तुष्टुवुस्तां सुरा देवीं सहदिव्यैर्महर्षिभिः ।जगुर्गन्धर्वपतयो ननृतुश्चाप्सरोगणाः॥,"Together with the great heavenly seers the gods praised the Devī, the celestial musicians sang, and throngs of cloud-nymphs danced.”"
4,1,ॐ ऋषिरुवाच॥,The seer said:
4,2,शक्रादयः सुरगणा निहतेऽतिवीर्ये तस्मिन्दुरात्मनि सुरारिबले च देव्या । तां तुष्टुवुः प्रणतिनम्रशिरोधरांसा वाग्भिः प्रहर्षपुलकोद्गमचारुदेहाः॥,"“When the Devī had struck down the brave but wicked Mahiṣāsura and his army of the Gods’ foes, Indra and the hosts of Gods lifted their voices to Her in praise, their heads bowed in reverence, their bodies made beautiful by the thrill of rapture."
4,3,देव्या यया ततमिदं जगदात्मशक्त्या निःशेषदेवगणशक्तिसमूहमूर्त्या । तामम्बिकामखिलदेवमहर्षिपूज्यां भक्त्या नताः स्म विदधातु शुभानि सा नः॥,"‘To the Devī, Who spreads out this world through Her own power and Who embodies Herself as all the powers of the hosts of Gods; to Ambikā, Who is worthy of"
4,4,यस्याः प्रभावमतुलं भगवाननन्तो ब्रह्मा हरश्च न हि वक्तुमलं बलं च । सा चण्डिकाखिलजगत्परिपालनाय नाशाय चाशुभभयस्य मतिं करोतु॥,"May She whose unequalled might and splendor even the blessed Viṣṇu, Brahmā, and Śiva are powerless to describe, may She, Caṇḍikā, be intent on protecting all the world and on destroying the fear of misfortune."
4,5,या श्रीः स्वयं सुकृतिनां भवनेष्वलक्ष्मीः पापात्मनां कृतधियां हृदयेषु बुद्धिः । श्रद्धा सतां कुलजनप्रभवस्य लज्जा तां त्वां नताः स्म परिपालय देवि विश्वम्॥,"O Devī, we bow before You Who are yourself good fortune in the dwellings of the virtuous and misfortune in the abodes of the wicked, intelligence in the hearts of the learned, faith in the hearts of the good, and modesty in the hearts of the high-born. May You protect the universe!"
4,6,किं वर्णयाम तव रूपमचिन्त्यमेतत् किञ्चातिवीर्यमसुरक्षयकारि भूरि । किं चाहवेषु चरितानि तवाति यानि सर्वेषु देव्यसुरदेवगणादिकेषु॥,"How can we describe this form of yours, which surpasses thought? And Your abundant, exceeding valor that destroys evil? And Your deeds in battle, O Devī, among all the throngs of Gods and demons?"
4,7,हेतुः समस्तजगतां त्रिगुणापि दोषैर्न ज्ञायसे हरिहरादिभिरप्यपारा । सर्वाश्रयाखिलमिदं जगदंशभूतमव्याकृता हि परमा प्रकृतिस्त्वमाद्या॥,You are the cause of all the worlds. Though containing the triple forces of
4,8,यस्याः समस्तसुरता समुदीरणेन तृप्तिं प्रयाति सकलेषु मखेषु देवि । स्वाहासि वै पितृगणस्य च तृप्तिहेतुरुच्चार्यसे त्वमत एव जनैः स्वधा च॥,"O Devī, You are the mantra of consecration whose utterance in all sacrifices brings satisfaction to the whole assemblage of Gods, and You are the mantra which humans proclaim as the cause of satisfaction to the hosts of ancestral spirits."
4,9,या मुक्तिहेतुरविचिन्त्यमहाव्रता त्वं अभ्यस्यसे सुनियतेन्द्रियतत्त्वसारैः । मोक्षार्थिभिर्मुनिभिरस्तसमस्तदोषैर्विद्यासि सा भगवती परमा हि देवि॥,"O Devī, Who are the cause of liberation and great, inconceivable austerities: sages yearning for liberation contemplate You with senses restrained, intent upon truth, with all faults cast off, for You are the blessed, supreme knowledge."
4,10,शब्दात्मिका सुविमलर्ग्यजुषां निधानमुद्गीथरम्यपदपाठवतां च साम्नाम् । देवि त्रयी भगवती भवभावनाय वार्तासि सर्वजगतां परमार्तिहन्त्री॥,"With sound as Your essence, You are the treasury that holds the taintless Vedic hymns, sung to resound joyfully with Your holy name. You are the blessed Devī, Who embodies the three Vedas. Intent on conferring well-being, You are the supreme destroyer of pain in all the worlds."
4,11,मेधासि देवि विदिताखिलशास्त्रसारा दुर्गासि दुर्गभवसागरनौरसङ्गा । श्रीः कैटभारिहृदयैककृताधिवासा गौरी त्वमेव शशिमौलिकृतप्रतिष्ठा॥,"O Devī, You are the intelligence by which the essence of all scriptures is understood. You are Durgā, the vessel free of attachments that takes one across life’s difficult ocean. You are Srī, the radiant splendor that abides in the heart of Viṣṇu. You are Gaurī, the shining goddess Who abides with the moon-crowned Śiva."
4,12,ईषत्सहासममलं परिपूर्णचन्द्रबिम्बानुकारि कनकोत्तमकान्तिकान्तम् । अत्यद्भुतं प्रहृतमात्तरुषा तथापि वक्त्रं विलोक्य सहसा महिषासुरेण॥,"Gently smiling, Your shining face resembles the full moon’s orb and is as pleasing as the lustre of the finest gold. Beholding It, how could Mahiṣāsura, even though enraged, be moved to strike it?"
4,13,दृष्ट्वा तु देवि कुपितं भ्रुकुटीकरालमुद्यच्छशाङ्कसदृशच्छवि यन्न सद्यः । प्राणान् मुमोच महिषस्तदतीव चित्रं कैर्जीव्यते हि कुपितान्तकदर्शनेन॥,"Still stranger was it, O Devī, that Mahiṣa did not perish the instant he beheld Your wrathful face, reddened like the rising moon and scowling frightfully. For who can behold the enraged face of death and still live?"
4,14,देवि प्रसीद परमा भवती भवाय सद्यो विनाशयसि कोपवती कुलानि । विज्ञातमेतदधुनैव यदस्तमेत- न्नीतं बलं सुविपुलं महिषासुरस्य॥,"O Devī, Who are supreme, be gracious to all creation, for when angered You can annihilate multitudes. We saw this the moment You brought Mahiṣāsura’s vast power to an end."
4,15,ते सम्मता जनपदेषु धनानि तेषां तेषां यशांसि न च सीदति बन्धुवर्गः । धन्यास्त एव निभृतात्मजभृत्यदारा येषां सदाभ्युदयदा भवती प्रसन्ना॥,"Those to whom You are bounteous are honored among peoples, theirs are riches, theirs are glories, and their righteous acts know no limit. They indeed are blessed with devoted children, attendants, and wives."
4,16,धर्म्याणि देवि सकलानि सदैव कर्माण्यत्यादृतः प्रतिदिनं सुकृती करोति । स्वर्गं प्रयाति च ततो भवती प्रसादाल्लोकत्रयेऽपि फलदा ननु देवि तेन॥,"One who is virtuous and ever mindful performs daily all righteous deeds, O Devī, and by Your grace attains to heaven. Are You not, then, the giver of rewards in all the three worlds?"
4,17,दुर्गे स्मृता हरसि भीतिमशेषजन्तोः स्वस्थैः स्मृता मतिमतीव शुभां ददासि । दारिद्र्यदुःखभयहारिणि का त्वदन्या सर्वोपकारकरणाय सदार्द्रचित्ता॥,"Remembered in distress, You remove fear from every creature. Remembered by the untroubled, You confer even greater serenity of mind. Dispeller of poverty, suffering, and fear, Who other than You is ever intent on benevolence toward all?"
4,18,एभिर्हतैर्जगदुपैति सुखं तथैते कुर्वन्तु नाम नरकाय चिराय पापम् । सङ्ग्राममृत्युमधिगम्य दिवं प्रयान्तु मत्वेति नूनमहितान्विनिहंसि देवि॥,"The world attains happiness when You slay its foes, and though they may have committed enough evil to keep them long in torment, even as You strike down our enemies, O Devī, You think, May they reach heaven through death in battle with Me."
4,19,दृष्ट्वैव किं न भवती प्रकरोति भस्म सर्वासुरानरिषु यत्प्रहिणोषि शस्त्रम् । लोकान्प्रयान्तु रिपवोऽपि हि शस्त्रपूता इत्थं मतिर्भवति तेष्वहितेषुसाध्वी॥,"Why does Your mere glance not reduce all asuras to ashes? Because when assailed by Your weapons and thus purified, even those adversaries may attain the higher worlds."
4,20,खड्गप्रभानिकरविस्फुरणैस्तथोग्रैः शूलाग्रकान्तिनिवहेन दृशोऽसुराणाम् । यन्नागता विलयमंशुमदिन्दुखण्डयोग्याननं तव विलोकयतां तदेतत्॥,"If the intense light flashing frightfully from Your sword or the glaring brilliance of Your spearpoint did not blind the asuras’ eyes, it was because You made them behold the moonlike radiance beaming from Your face."
4,21,दुर्वृत्तवृत्तशमनं तव देवि शीलं रूपं तथैतदविचिन्त्यमतुल्यमन्यैः । वीर्यं च हन्तृ हृतदेवपराक्रमाणां वैरिष्वपि प्रकटितैव दया त्वयेत्थम्॥,"Even toward them Your intentions are most gracious. O Devī, Your nature is to subdue the misconduct of the wicked. Others cannot equal Your inconceivable grace, for even while Your might destroys those Who have wrested power from the Gods, You show compassion toward those very foes."
4,22,केनोपमा भवतु तेऽस्य पराक्रमस्य रूपं च शत्रुभयकार्यतिहारि कुत्र । चित्ते कृपा समरनिष्ठुरता च दृष्टा त्वय्येव देवि वरदे भुवनत्रयेऽपि॥,"To what may Your prowess be compared? Where else is there beauty so ravishing, yet striking fear into enemies? Where in the three worlds are compassion in heart and resolve in battle seen as they are in You, O beneficent Devī?"
4,23,त्रैलोक्यमेतदखिलं रिपुनाशनेन त्रातं त्वया समरमूर्धनि तेऽपि हत्वा । नीता दिवं रिपुगणा भयमप्यपास्तम् अस्माकमुन्मदसुरारिभवं नमस्ते॥,"Destroying all foes, You have saved the three worlds. Slaying them at the battle-front, You led even those frenzied, hostile throngs to heaven, even while dispelling our fear of them. Salutations to You!"
4,24,शूलेन पाहि नो देवि पाहि खड्गेन चाम्बिके । घण्टास्वनेन नः पाहि चापज्यानिःस्वनेन च॥,"Protect us with Your spear, O Devī, and protect us with Your sword, O Ambikā. Protect us with the clangor of Your bell and the resonance of Your bowstring."
4,25,प्राच्यां रक्ष प्रतीच्यां च चण्डिके रक्ष दक्षिणे । भ्रामणेनात्मशूलस्य उत्तरस्यां तथेश्वरि॥,"Guard us in the east and in the west, O Caṇḍikā. Guard us in the south and also in the north, O Īśvarī, by brandishing Your spear."
4,26,सौम्यानि यानि रूपाणि त्रैलोक्ये विचरन्ति ते । यानि चात्यन्तघोराणि तै रक्षास्मांस्तथा भुवम्॥,"With Your gentle forms that move through the three worlds and with Your surpassingly terrible ones, protect us and also the earth."
4,27,खड्गशूलगदादीनि यानि चास्त्रानि तेऽम्बिके । करपल्लवसङ्गीनि तैरस्मान्रक्ष सर्वतः॥,"O Ambikā, with sword, spear, mace, and whatever other weapons Your tender hands have touched, protect us on all sides.’”"
4,28,ऋषिरुवाच॥,The seer said:
4,29,एवं स्तुता सुरैर्दिव्यैः कुसुमैर्नन्दनोद्भवैः । अर्चिता जगतां धात्री तथा गन्धानुलेपनैः॥,"“In that way the Gods praised Her Who supports the worlds, honoring Her with flowers that bloom in Indra’s paradise and anointing Her with perfumes."
4,30,भक्त्या समस्तैस्त्रिदशैर्दिव्यैर्धूपैः सुधूपिता । प्राह प्रसादसुमुखी समस्तान् प्रणतान् सुरान्॥,"Devotedly the assembled Gods offered heavenly incense to Her. Serene of countenance, She spoke to all the Gods, who were bowed down in reverence."
4,31,देव्युवाच॥,The Devī said:
4,32,व्रियतां त्रिदशाः सर्वे यदस्मत्तोऽभिवाञ्छितम्॥,"‘All You Gods, ask whatever You wish of Me. Well pleased with Your hymns, I will gladly grant it.’"
4,33,देवा ऊचुः॥,The Gods said:
4,34,भगवत्या कृतं सर्वं न किञ्चिदवशिष्यते॥,"‘Since You, the glorious one, have slain our enemy, this Mahiṣāsura, all has been accomplished; nothing remains to be done."
4,35,यदयं निहतः शत्रुरस्माकं महिषासुरः । यदि चापि वरो देयस्त्वयास्माकं महेश्वरि॥,"But if You are to grant a blessing, O great sovereign, may You destroy our direst misfortunes whenever we remember You."
4,36,संस्मृता संस्मृता त्वं नो हिंसेथाः परमापदः । यश्च मर्त्यः स्तवैरेभिस्त्वां स्तोष्यत्यमलानने॥,"O You of spotless countenance, may You bring increased wealth, family, and success to whatever mortal shall praise You with these hymns."
4,37,तस्य वित्तर्द्धिविभवैर्धनदारादिसम्पदाम् । वृद्धयेऽस्मत्प्रसन्ना त्वं भवेथाः सर्वदाम्बिके॥,"Through Your power of abundance, O Ambikā, be ever gracious unto us!”’"
4,38,ऋषिरुवाच॥,The seer said:
4,39,इति प्रसादिता देवैर्जगतोऽर्थे तथात्मनः । तथेत्युक्त्वा भद्रकाली बभूवान्तर्हिता नृप॥,"“O king, thus propitiated by the Gods for the world’s sake and for their own, Bhadrakālī said, ‘So let it be,’ and vanished from sight."
4,40,इत्येतत्कथितं भूप सम्भूता सा यथा पुरा । देवी देवशरीरेभ्यो जगत्त्रयहितैषिणी॥,"So is it told, O king, how She came forth long ago from the bodies of the Gods, the Devī Who desires the wellbeing of the three worlds."
